"x"
"ordinari motion rank"
"motion rank follow"
"rank follow lowest"
"follow lowest rank"
"lowest rank bottom"
"rank bottom highest"
"bottom highest top"
"highest top list"
"top list one"
"list one immedi"
"one immedi pend"
"immedi pend motion"
"pend motion list"
"motion list order"
"list order order"
"order order explan"
"order explan tabl"
"explan tabl rule"
"tabl rule head"
"rule head column"
"head column appli"
"column appli origin"
"appli origin main"
"origin main motion"
"main motion case"
"motion case except"
"case except star"
"except star figur"
"star figur indic"
"figur indic motion"
"indic motion except"
"motion except rule"
"except rule star"
"rule star show"
"star show exact"
"show exact opposit"
"exact opposit rule"
"opposit rule head"
"rule head column"
"head column appli"
"column appli motion"
"appli motion figur"
"motion figur refer"
"figur refer note"
"refer note explain"
"note explain extent"
"explain extent except"
"extent except exampl"
"except exampl lay"
"exampl lay tabl"
"lay tabl tabl"
"tabl tabl show"
"tabl show manual"
"show manual treat"
"manual treat motion"
"treat motion undebat"
"motion undebat amend"
"undebat amend subsidiari"
"amend subsidiari motion"
"subsidiari motion can"
"motion can appli"
"can appli reconsid"
"appli reconsid fact"
"reconsid fact column"
"fact column star"
"column star figur"
"star figur show"
"figur show rule"
"show rule head"
"rule head column"
"head column appli"
"column appli motion"
"appli motion lay"
"motion lay tabl"
"lay tabl origin"
"tabl origin main"
"origin main motion"
"main motion column"
"motion column incident"
"column incident motion"
"incident motion motion"
"motion motion incident"
"motion incident pend"
"incident pend motion"
"pend motion take"
"motion take preced"
"take preced must"
"preced must act"
"must act upon"
"act upon first"
"upon first see"
"first see list"
"see list motion"
"list motion privileg"
"motion privileg subsidiari"
"privileg subsidiari motion"
"subsidiari motion can"
"motion can laid"
"can laid tabl"
"laid tabl postpon"
"tabl postpon definit"
"postpon definit indefinit"
"definit indefinit commit"
"indefinit commit main"
"commit main question"
"main question laid"
"question laid tabl"
"laid tabl etc"
"tabl etc adher"
"etc adher subsidiari"
"adher subsidiari everi"
"subsidiari everi one"
"everi one expect"
"one expect take"
"expect take activ"
"take activ part"
"activ part meet"
"part meet delib"
"meet delib assembl"
"delib assembl becom"
"assembl becom suffici"
"becom suffici familiar"
"suffici familiar order"
"familiar order preced"
"order preced motion"
"preced motion tabl"
"motion tabl rule"
"tabl rule abl"
"rule abl refer"
"abl refer quick"
"refer quick familiar"
"quick familiar can"
"familiar can acquir"
"can acquir actual"
"acquir actual practic"
"actual practic refer"
"practic refer tabl"
"refer tabl find"
"tabl find rule"
"find rule various"
"rule various point"
"various point cover"
"point cover regard"
"cover regard various"
"regard various motion"
"various motion six"
"motion six page"
"six page contain"
"page contain epitom"
"contain epitom parliamentari"
"epitom parliamentari law"
"parliamentari law order"
"law order preced"
"order preced motion"
"preced motion commit"
"motion commit memori"
"commit memori contain"
"memori contain privileg"
"contain privileg subsidiari"
"privileg subsidiari motion"
"subsidiari motion number"
"motion number arrang"
"number arrang order"
"arrang order rank"
"order rank show"
"rank show regard"
"show regard motion"
"regard motion whether"
"motion whether can"
"whether can debat"
"can debat amend"
"debat amend vote"
"amend vote requir"
"vote requir circumst"
"requir circumst can"
"circumst can made"
"can made tabl"
"made tabl rule"
"tabl rule head"
"rule head column"
"head column rule"
"column rule principl"
"rule principl applic"
"principl applic origin"
"applic origin main"
"origin main motion"
"main motion memor"
"motion memor follow"
"memor follow origin"
"follow origin main"
"origin main motion"
"main motion debat"
"motion debat debat"
"debat debat must"
"debat must confin"
"must confin immedi"
"confin immedi pend"
"immedi pend question"
"pend question can"
"question can amend"
"can amend subsidiari"
"amend subsidiari motion"
"subsidiari motion can"
"motion can appli"
"can appli can"
"appli can reconsid"
"can reconsid requir"
"reconsid requir major"
"requir major vote"
"major vote adopt"
"vote adopt must"
"adopt must second"
"must second order"
"second order anoth"
"order anoth floor"
"anoth floor whenev"
"floor whenev motion"
"whenev motion tabl"
"motion tabl differ"
"tabl differ main"
"differ main motion"
"main motion regard"
"motion regard rule"
"regard rule except"
"rule except indic"
"except indic star"
"indic star figur"
"star figur proper"
"figur proper column"
"proper column opposit"
"column opposit motion"
"opposit motion star"
"motion star show"
"star show exact"
"show exact opposit"
"exact opposit rule"
"opposit rule head"
"rule head column"
"head column appli"
"column appli motion"
"appli motion figur"
"motion figur refer"
"figur refer note"
"refer note explain"
"note explain extent"
"explain extent except"
"extent except blank"
"except blank show"
"blank show rule"
"show rule head"
"rule head column"
"head column appli"
"column appli therefor"
"appli therefor motion"
"therefor motion respect"
"motion respect exact"
"respect exact like"
"exact like main"
"like main motion"
"main motion motion"
"motion motion follow"
"motion follow figur"
"follow figur column"
"figur column figur"
"column figur refer"
"figur refer note"
"refer note give"
"note give use"
"give use inform"
"use inform regard"
"inform regard motion"
"regard motion tabl"
"motion tabl rule"
"tabl rule construct"
"rule construct upon"
"construct upon theori"
"upon theori best"
"theori best learn"
"best learn general"
"learn general principl"
"general principl parliamentari"
"principl parliamentari law"
"parliamentari law appli"
"law appli origin"
"appli origin main"
"origin main motion"
"main motion note"
"motion note respect"
"note respect motion"
"respect motion except"
"motion except general"
"except general rule"
"general rule thus"
"rule thus motion"
"thus motion postpon"
"motion postpon definit"
"postpon definit certain"
"definit certain time"
"certain time star"
"time star figur"
"star figur opposit"
"figur opposit therefor"
"opposit therefor subject"
"therefor subject rule"
"subject rule main"
"rule main motion"
"main motion postpon"
"motion postpon indefinit"
"postpon indefinit two"
"indefinit two star"
