OutletID,Outlet,Type,JournalistID,Twitter Handle,Journalist,Website,Owner,Nexis,NexisBeginning,NexisEnd,Newsbank,NewsbankBeginning,NewsbankEnd,Type,Publication,Category,City,Notes
100,BBC Daily Politics Show,TV,100,@daily_politics,,http://www.bbc.co.uk/programmes/p00ly0k7,Public Service,,,,,,,,,,,
100,BBC Daily Politics Show,Journalist TV,101,@afneil,Andrew Neil,http://www.bbc.co.uk/programmes/p00ly0k8,Public Service,,,,,,,,,,,Presenter and Journalist
100,BBC Daily Politics Show,Journalist TV,102,@Jo_Coburn,Jo Coburn,http://www.bbc.co.uk/programmes/p00ly0k9,Public Service,,,,,,,,,,,Presenter and Journalist
200,BBC News,TV,200,@BBCNews,,http://www.bbc.co.uk/news,Public Service,,,,,,,,,,,
200,BBC News,Journalist TV,201,@huwbbc,Huw Edwards,http://www.bbc.co.uk/news,Public Service,,,,,,,,,,,Presenter
200,BBC News,Journalist TV,202,@sophieraworth,Sophie Raworth,http://www.bbc.co.uk/news,Public Service,,,,,,,,,,,Presenter
200,BBC News,Journalist TV,203,@katesilverton1,Kate Silverton,http://www.bbc.co.uk/news,Public Service,,,,,,,,,,,Presenter
200,BBC News,Journalist TV,204,@bbckamal,Kamal Ahmed,http://www.bbc.co.uk/news,Public Service,,,,,,,,,,,BBC Economics Editor
200,BBC News,Journalist TV,205,@BBCSimonJack,Simon Jack,http://www.bbc.co.uk/news,Public Service,,,,,,,,,,,BBC Business Editor
200,BBC News,Journalist TV,206,@bbclaurak,Laura Kuenssberg,http://www.bbc.co.uk/news,Public Service,,,,,,,,,,,BBC Political Editor
200,BBC News,Journalist TV,207,@BBCHughPym,Hugh Pym,http://www.bbc.co.uk/news,Public Service,,,,,,,,,,,BBC Health Editor
200,BBC News,Journalist TV,208,@FrankRGardner,Frank Gardner,http://www.bbc.co.uk/news,Public Service,,,,,,,,,,,BBC Security Correspondent
200,BBC News,Journalist TV,209,@bealejonathan,Jonathan Beale,http://www.bbc.co.uk/news,Public Service,,,,,,,,,,,BBC Defence Correspondent
200,BBC News,Journalist TV,210,@DannyShawBBC,Danny Shaw,http://www.bbc.co.uk/news,Public Service,,,,,,,,,,,BBC Home Affairs Correspondent
200,BBC News,Journalist TV,211,@BBCDomC,Dominic Casciani,http://www.bbc.co.uk/news,Public Service,,,,,,,,,,,BBC Home Affairs Correspondent
200,BBC News,Journalist TV,212,@BBCAmos,Jonathan Amos,http://www.bbc.co.uk/news,Public Service,,,,,,,,,,,BBC Science Correspondent
300,BBC Newsnight,TV,300,@BBCNewsnight,,http://www.bbc.co.uk/programmes/b006mk25,Public Service,,,,,,,,,,,
300,BBC Newsnight,Journalist TV,301,@EvanHD,Evan Davis,http://www.bbc.co.uk/programmes/b006mk26,Public Service,,,,,,,,,,,Presenter and Journalist
300,BBC Newsnight,Journalist TV,302,@KirstyWark,Kirsty Wark,http://www.bbc.co.uk/programmes/b006mk27,Public Service,,,,,,,,,,,Presenter and Journalist
300,BBC Newsnight,Journalist TV,303,@maitlis,Emily Maitlis,http://www.bbc.co.uk/programmes/b006mk28,Public Service,,,,,,,,,,,Presenter and Journalist
300,BBC Newsnight,Journalist TV,304,@katierazz,Katie Razzall,http://www.bbc.co.uk/programmes/b006mk29,Public Service,,,,,,,,,,,Special Correspondent
400,BBC Radio Four PM,Radio,400,@BBCPM,,http://www.bbc.co.uk/programmes/b006qskw,Public Service,,,,,,,,,,,
400,BBC Radio Four PM,Journalist Radio,401,@eddiemair,Eddie Mair,http://www.bbc.co.uk/programmes/b006qskw,Public Service,,,,,,,,,,,
500,BBC Radio Four Today,Radio,500,@BBCr4today,,http://www.bbc.co.uk/programmes/b006qj9z ,Public Service,,,,,,,,,,,
