Name,Twitter,hansard_member_id,hansard_member_name,Party,Constituency,2015MP,2010MP
Adam Afriyie ,@AdamAfriyie ,uk.m.11929,Adam Afriyie,Conservative,Windsor,1,
Adam Holloway ,@AdamHollowayMP ,uk.m.11599,Adam Holloway,Conservative,Gravesham,1,
Adrian Bailey ,@AdrianBailey4MP ,uk.m.10683,Adrian Bailey,Labour Co-operative,West Bromwich West,1,
Alan Brown ,@AlanBrownSNP ,.,.,Labour Co-operative,Kilmarnock and Loudoun,1,
Aidan Burley,.,uk.m.24844,Aidan Burley,,,,
Alan Campbell ,@alancampbellmp ,uk.m.10086,Alan Campbell,Labour,Tynemouth,1,
Alan Duncan ,@AlanDuncanMP ,uk.m.10179,Alan Duncan,Conservative,Rutland and Melton,1,
Alan Haselhurst ,.,uk.m.10263,Alan Haselhurst,Conservative,Saffron Walden,1,
Alan Johnson ,.,uk.m.10314,Alan Johnson,Labour,Kingston upon Hull West and Hessle,1,
Alan Mak ,@AlanMakMP ,.,.,Conservative,Havant,1,
Alan Keen,.,uk.m.10329,Alan Keen,,,,1
Alan Meale ,.,uk.m.10428,Alan Meale,Labour,Mansfield,1,
Alan Whitehead ,@alanwhiteheadmp ,uk.m.10630,Alan Whitehead,Labour,Southampton Test,1,
Alasdair McDonnell ,@AlasdairMcD_MP ,.,.,SDLP,Belfast South,1,
Albert Owen ,@AlbertOwenMP ,uk.m.11148,Albert Owen,Labour,Ynys Môn (Anglesey),1,
Alberto Costa ,@AlbertoCostaMP ,.,.,Conservative,South Leicestershire,1,
Alec Shelbrooke ,@AlecShelbrooke ,uk.m.24893,Alec Shelbrooke,Conservative,Elmet and Rothwell,1,
Alex Chalk ,@AlexChalkChelt ,.,.,Liberal Democrats,Cheltenham,1,
Alex Cunningham ,@ACunninghamMP ,uk.m.24742,Alex Cunningham,Labour,Stockton North,1,
Alex Salmond ,@AlexSalmond ,.,.,Liberal Democrats,Gordon,1,
Alison McGovern ,@Alison_McGovern ,uk.m.24897,Alison McGovern,Labour,Wirral South,1,
Alison Seabeck,.,uk.m.11760,Alison Seabeck,,,,1
Alison Thewliss ,@alisonthewliss ,.,.,Labour,Glasgow Central,1,
Alistair Burt ,@AlistairBurtMP ,uk.m.10770,Alistair Burt,Conservative,North East Bedfordshire,1,
Alistair Darling,.,uk.m.10153,Alistair Darling,,,,
Alistair Carmichael ,@acarmichaelmp ,.,.,Liberal Democrats,Orkney and Shetland,1,
Alok Sharma ,@AlokSharma_RDG ,uk.m.24902,Alok Sharma,Conservative,Reading West,1,
Alun Cairns ,@AlunCairns ,uk.m.24740,Alun Cairns,Conservative,Vale of Glamorgan,1,
Alun Michael,@alunmichael,uk.m.10431,Alun Michael,,,,1
