coef,term
-7.628882954,labour member
-5.84745790175,secretari state
-5.74845719001,hope minist
-5.46842807086,friend member south
-5.45981471557,hon member birmingham
-5.21053747875,right hon gentleman
-5.17850459072,labour parti
-5.00963288164,friend member
-4.56251467314,minist said
-4.33097790729,offici report
-4.25255776151,friend member bromley
-4.18179007932,friend member north
-4.14058490619,hon member birkenhead
-4.08745063894,hon learn friend
-4.07008646962,hon member nottingham
-3.98864035728,friend member southwest
-3.91634731562,financi secretari
-3.86377186299,hon member leicest
-3.83373491679,hon ladi
-3.80791132595,learn friend
-3.74994067012,minist know
-3.72560942375,hon member glasgow
-3.72453812018,learn friend member
-3.64874847366,hon member liverpool
-3.60719868225,friend member christchurch
-3.57059113747,hon friend member
-3.50397331095,paymast gener
-3.35744213763,hon member hay
-3.30862365814,taxpay money
-3.3039725757,minist would
-3.29402291097,hous adjourn
-3.28616633909,friend member richmond
-3.12122732028,agre hous adjourn
-3.12122732028,put agre hous
-3.08811497291,minist state
-3.06772158393,chancellor exchequ
-3.06008018326,friend member stone
-3.02966958286,friend member gainsborough
-3.0210992857,grate minist
-3.01464035829,polit correct
-2.96637951446,friend leader opposit
-2.95958261068,friend member haltempric
-2.95224457956,minist may
-2.95139595218,friend member wokingham
-2.91158017202,coalit govern
-2.88637896229,yet anoth
-2.84855327732,red book
-2.8480314172,district council
-2.83102250647,friend member hitchin
-2.82433263215,hon member edinburgh
-2.8084125038,govern propos
-2.80383953375,friend member northeast
-2.79478516616,commun hospit
-2.76861544763,hon member hendon
-2.76508116855,friend member new
-2.72789406681,agre hous
-2.71932598188,stealth tax
-2.68900405651,friend member buckingham
-2.68246522115,hon member manchest
-2.6727248855,friend member penrith
-2.67108503677,minist made
-2.64106825966,friend member sutton
-2.63206980167,hon member newcastl
-2.62795116496,friend member suffolk
-2.59805955335,hon member lewisham
-2.59197613036,hon member walsal
-2.57885358929,hon member rhondda
-2.56414603084,would like
-2.53676950823,chief secretari
-2.53385110701,hon member linlithgow
-2.51673325161,econom secretari
-2.51475248514,friend member east
-2.51011297548,prime minist
-2.50365858046,friend member witney
-2.49529937046,may well
-2.48711355773,one could
-2.4861637766,rural area
-2.46765459947,friend member maidston
-2.45652887683,new labour
-2.45231877223,cold war
-2.4410578873,minist agre
-2.43942387831,govern fail
-2.43811383327,one two
-2.42012685016,social worker
-2.41651754496,govern intend
-2.383535624,sure minist
-2.3814918364,valu money
-2.37741961753,group amend
-2.35953741369,friend member bournemouth
-2.35517728439,hon member islington
-2.35165070064,counti council
-2.34949569639,hon member luton
-2.33952221907,intern develop
-2.33402085189,friend member huntingdon
-2.31689399851,enterpris zone
-2.30421025362,health care
-2.30373710444,region assembl
-2.30313255715,hon member holborn
-2.29381039413,council tax
-2.29357995598,hon member wakefield
