coef,term
-7.62540078408,secretari state
-5.19075958937,labour parti
-4.89000769712,financi secretari
-4.48038705128,hope minist
-4.20007331841,offici report
-3.98661112105,minist said
-3.88652445913,coalit govern
-3.64947744474,new labour
-3.61220323637,hous adjourn
-3.59877308125,paymast gener
-3.30712080635,minist know
-3.27942679413,perhap minist
-3.2433691189,red book
-3.23591489257,econom secretari
-3.20774985846,agre hous
-3.19585498365,govern fail
-3.15284183929,red tape
-3.15170651798,hear minist
-3.13760916679,agre hous adjourn
-3.13760916679,put agre hous
-3.13398242778,would like
-3.12173851494,govern seem
-3.06406760524,prime minist
-3.01798167269,way govern
-3.00296617603,commun hospit
-2.96255580397,right leader opposit
-2.91705949325,home secretari
-2.88858516075,one two
-2.80576521897,last govern
-2.78064231161,public financ
-2.74323889488,minist agre
-2.73133395971,sure minist
-2.71117018472,go wrong
-2.69743009139,minist may
-2.68066326338,pleasur follow
-2.61867047658,declar interest
-2.61083847267,good point
-2.58937996703,govern say
-2.55340578038,much hope
-2.55197997761,minist would
-2.54618122099,side hous
-2.49966630584,minist give
-2.48260626074,grate minist
-2.47398419824,increas tax
-2.46526881525,one thing
-2.46501047759,chancellor exchequ
-2.43304982686,british peopl
-2.41042668959,chief secretari
-2.3822636554,absolut right
-2.34951269402,district council
-2.34299795352,written answer
-2.3366626387,one could
-2.32845706781,govern may
-2.32725024963,howev govern
-2.32406378871,yet anoth
-2.28844152194,govern want
-2.28046717559,rural area
-2.26928105757,nation interest
-2.25837321877,deputi speaker
-2.25413090868,minist state
-2.24236643036,european court
-2.22968791394,part bill
-2.228132914,none less
-2.22777832167,group amend
-2.22254369979,urg govern
-2.21108368495,polit correct
-2.20573133339,shadow minist
-2.16012560792,polic forc
-2.15554125905,one might
-2.14370530556,question minist
-2.13170913961,bill minist
-2.12708570756,part govern
-2.12448791762,minist awar
-2.1216253922,state said
-2.11759557303,milton keyn
-2.1025157338,hold govern
-2.08737661624,must ask
-2.07409668998,common ground
-2.07239634292,equit life
-2.06413342993,right birkenhead
-2.06329682666,minist say
-2.03435968591,secretari state said
-2.02963727449,regist interest
-2.02065576974,free trade
-2.01384386753,need know
-2.01011509424,one need
-2.00406222981,famili court
-1.99778669244,rule law
-1.97539526391,taxpay money
-1.96341980539,wind farm
-1.96327983908,west sussex
-1.94369365013,meanstest benefit
-1.93735854034,tax increas
-1.93133174014,pension fund
-1.92853599109,world servic
-1.92840699941,import subject
-1.92390174915,mr speaker
-1.92250565347,cold war
-1.92038332082,govern claim
-1.91960290167,one would
