coef,term
9.85418596605,friend minist
9.53218747417,hon friend minist
6.19355012745,hon friend
6.15848709678,right hon friend
5.37604673455,hon gentleman
5.07588481236,opposit member
4.95054059619,friend member birmingham
4.88333187913,conserv parti
4.72230516658,hon friend secretari
4.68558442467,friend secretari
4.66566292073,friend secretari state
4.6443912746,hon member south
4.12725023354,tori govern
3.95679892321,govern member
3.8664009555,friend member leicest
3.82661012718,hon member southwest
3.80362519709,trade union
3.76370309881,hon member bromley
3.6601641215,hon member stone
3.64684840434,hon member wokingham
3.52577565296,hon friend home
3.50260574824,friend home
3.40895172606,friend member glasgow
3.3548003456,friend member sheffield
3.32787975412,tori parti
3.32242383479,friend home secretari
3.26660467941,friend member liverpool
3.25634562571,hon member haltempric
3.18923973233,friend member nottingham
3.06986993557,lib dem
3.06226575001,hon learn gentleman
3.03935176283,learn gentleman
2.98814984487,hon member richmond
2.9879255139,friend member linlithgow
2.97149877699,amend no
2.9387652674,learn member
2.83965356197,hon learn member
2.83533587431,friend member hay
2.83244590199,hon member huntingdon
2.81778969547,south wale
2.78985934011,hon member woodspr
2.73510636143,opposit parti
2.71014943868,hon member penrith
2.70029190336,hon member gainsborough
2.7001695599,hon member north
2.67401991882,labour govern
2.63093384237,hon member suffolk
2.60160340218,young peopl
2.57216003675,local govern
2.57027711866,adjourn accordingli
2.56729615968,tax cut
2.5640848491,peopl work
2.55228456504,hon member sutton
2.54627331189,hon member maidenhead
2.53456240482,friend member great
2.53035086924,put agre adjourn
2.53035086924,agre adjourn accordingli
2.53035086924,agre adjourn
2.52847149627,hon member new
2.50292129345,friend member wolverhampton
2.49639270847,friend member bolton
2.47216884443,learn member rushcliff
2.46568164203,friend member cardiff
2.46295575284,hon member bournemouth
2.44272746063,friend member islington
2.44042580575,hon member buckingham
2.42869141319,intern commun
2.42653821752,greater manchest
2.42524735199,friend member hendon
2.41042386897,hon member skipton
2.39320358421,hon member east
2.36338243555,hon member maidston
2.36199731819,friend member newcastl
2.35944412769,hon member beaconsfield
2.33700127631,hon member
2.3272429105,friend member brent
2.32686672701,friend member manchest
2.32190941694,conserv member
2.31138910032,help us
2.28125212291,council hous
2.27636454551,hon member tiverton
2.25705358773,friend member birkenhead
2.25378340089,hon member northwest
2.22964831851,friend prime
2.22524473359,hon friend chancellor
2.22337311454,friend member rhondda
2.21978723405,friend leader hous
2.21962022502,hon member chichest
2.21625279317,suppli chain
2.21540035908,hous benefit
2.21292237616,friend prime minist
2.208062302,bedroom tax
2.20010741682,hon member hitchin
2.19591304784,assur hon
2.18184160969,friend foreign
2.17193169166,video game
2.17151651483,friend chancellor
2.16968439531,hon member runnymed
2.16929598845,hon member arundel
2.16765204203,friend member walsal
