coef,term
8.79190749745,right secretari
8.72436958474,right secretari state
6.84334958356,right minist
5.58656224408,right home secretari
5.57170421419,right home
5.17392673588,conserv parti
4.42983051449,right chancellor
4.41710773005,tori govern
4.34584182712,amend no
4.13640277682,tori parti
4.11519799575,right prime
4.09655779627,right prime minist
3.86733614682,right foreign
3.73978814365,right foreign secretari
3.2767654507,way forward
3.2377117858,trade union
3.16557548874,south wale
3.06034004363,busi secretari
2.99811647961,develop countri
2.89468648559,public servic
2.85001787141,adjourn accordingli
2.84831512629,agre adjourn
2.81753390926,agre adjourn accordingli
2.8097885104,put agre adjourn
2.80768762646,work peopl
2.70280242084,right deputi prime
2.69003496297,right leader hous
2.67869231944,right deputi
2.64687768063,hous benefit
2.57709628176,bedroom tax
2.56075274372,energi compani
2.55734045966,previou administr
2.55225237134,bill provid
2.55091178523,nation assembl
2.52368726395,news intern
2.52213868804,new technolog
2.52075806791,south yorkshir
2.46354180855,secur debat
2.46173849246,labour govern
2.42409181329,issu rais
2.36707152976,job growth
2.36066297868,new deal
2.34715187597,peopl work
2.34015949621,earlyday motion
2.33663146101,disabl peopl
2.33290253433,tax cut
2.29434048914,greater manchest
2.27378965188,nelson mandela
2.2690216614,sustain develop
2.25344618588,welcom bill
2.25312676267,council hous
2.25295406686,poll tax
2.24780751245,scottish execut
2.24538776425,probat servic
2.23417746496,cut public
2.19733025593,human right
2.15472836493,west bromwich
2.12299442496,steel industri
2.11233660304,social exclus
2.07827322216,high standard
2.06792838558,afford hous
2.06442035581,work togeth
2.06366569771,rais standard
2.06091421214,shadow chancellor
2.06085649371,pension scheme
2.03905662286,ask whether
2.03322122865,pension poverti
2.02974879034,tower hamlet
1.98686149939,world bank
1.98568333545,deal issu
1.98211420896,young peopl
1.97602594577,spend cut
1.96139169414,everi child
1.9580229801,move forward
1.93952486182,tee valley
1.91995433311,climat chang
1.91966702214,take forward
1.90805355463,limit liabil
1.90078455378,vest interest
1.88157413885,doubledip recess
1.88132731588,ask right
1.8781464574,child care
1.87503432735,meet need
1.87444508222,state pension
1.86245071376,opposit parti
1.84824821579,made clear
1.84554338455,enabl us
1.83910548436,later year
1.83750902078,food bank
1.83669666619,death penalti
1.82393555333,good practic
1.82251539449,north wale
1.82068253017,work pay
1.80995383204,welcom propos
1.80817457813,iraqi peopl
1.7990492356,ground rent
1.78842904418,local govern
1.7867822131,new hospit
1.7841547904,welsh offic
1.78379714166,health centr
