coef,term
7.38090898189,friend home
6.3868215524,tori govern
4.22369950008,tori parti
4.10037490025,trade union
4.00338443496,opposit parti
3.97782536106,busi secretari
3.94039203888,conserv parti
3.66462911286,govern member
3.61871449432,south yorkshir
3.4849264577,previou administr
3.36491568486,conserv member
3.36111675711,point rais
3.31473677752,bedroom tax
3.31146981768,work peopl
3.29469463496,south wale
3.26933041265,greater manchest
3.2446292641,unit nation
3.22354418058,new deal
3.19060235423,spend cut
3.11361078335,also ask
3.0285929263,labour govern
3.01720759672,much welcom
3.01482199605,good practic
3.0064407347,lib dem
3.00619708396,way forward
2.93108349187,next week
2.8667215183,work togeth
2.85036319855,tax cut
2.84648304107,poll tax
2.79454648988,manifesto commit
2.77234772955,meet need
2.71779348329,doubledip recess
2.68633940603,local govern
2.67326570044,peopl work
2.66621139662,also provid
2.60270930782,vast major
2.59137857238,long overdu
2.57312744798,futur job
2.56623639314,later year
2.54409586965,wast manag
2.53303752054,govern commit
2.47917864509,welfar state
2.47908704621,take forward
2.47516065685,first time
2.44387662964,follow consult
2.43554840565,winter fuel
2.42847700904,coal mine
2.41529408891,averag earn
2.4040676926,world bank
2.40039385313,daili mail
2.39271586469,missil defenc
2.34506158228,public interest
2.30362251923,transport system
2.2797632268,econom social
2.24825173605,would inappropri
2.24766472615,let say
2.2256015119,govern open
2.22187629261,job growth
2.201577197,bank levi
2.17825819902,hope right
2.16518929723,hunt dog
2.16015421556,committe agre
2.15284806935,food bank
2.13282253989,invest public
2.13111320715,ensur peopl
2.12551676838,integr transport
2.11219036921,tower hamlet
2.07102810244,major chang
2.06778180711,social econom
2.05844641698,ask whether
2.0562899482,intern commun
2.0516158019,inform avail
2.04354907988,occupi territori
2.03248309918,see benefit
2.02516370692,east london
2.02368712167,govern support
2.01313907596,suppli chain
2.01227935063,want thank
2.00924242764,task forc
2.00869263015,play field
2.00715329522,direct travel
2.002250298,militari action
1.99929955198,govern bodi
1.97688034765,death penalti
1.97258366197,said earlier
1.97081106947,state consid
1.96441113871,conserv liber
1.9598541877,crime reduct
1.95366208807,mani year
1.95122609297,receiv benefit
1.94382443785,school meal
1.94154562027,plan growth
1.93259505451,new member
1.92206295514,chang cours
1.90853119987,voluntari sector
1.90755837693,chief inspector
1.89754843168,want take
1.89196485375,social justic
1.8911858907,year conserv
1.88550793908,energi compani
