src_name,n_transcripts,from_date,to_date
24dash,17207,2010-01-04 00:00:00,2012-04-16 00:00:00
@w_nuclear_news,428,2012-01-03 00:00:00,2012-05-22 00:00:00
a world to win blogs,1550,2012-01-06 00:00:00,2014-09-29 00:00:00
aberdeen independent,187,2010-09-09 00:00:00,2011-06-16 16:02:00
african echo,53,2010-07-28 00:00:00,2014-01-09 00:00:00
agra-net.com,14322,2010-07-28 00:00:00,2014-03-21 00:00:00
alert net,15154,2010-09-01 00:00:00,2013-04-23 00:00:00
alliance for workers' liberty,1646,2010-06-16 00:00:00,2014-07-08 00:00:00
alton herald,25,2010-07-01 00:00:00,2010-08-05 00:00:00
ananova,24495,2010-01-01 01:05:00,2011-11-21 00:00:00
ananova - orange news,8003,2010-03-20 00:00:00,2012-09-24 00:00:00
andover advertiser,3666,2010-01-01 06:00:00,2014-08-25 00:00:00
arab newsweek,181,2010-01-01 03:34:00,2010-09-30 13:46:00
asharq al-awsat,19107,2010-01-01 05:55:00,2013-02-26 19:48:00
ayrshire post,5639,2011-12-29 20:52:00,2013-06-30 14:03:00
bakery and snacks,2549,2010-01-01 07:44:00,2013-01-14 10:32:00
ballyclare gazette,1029,2010-01-04 19:34:00,2014-01-16 00:00:00
ballymena times,932,2011-12-06 00:00:00,2012-07-05 00:00:00
ballymena today,1327,2010-01-05 05:40:00,2011-12-05 00:00:00
ballymoney today,20310,2010-01-04 07:41:00,2011-02-09 08:41:00
banbridge leader,1256,2011-10-28 00:00:00,2012-07-05 00:00:00
banbridge today,28471,2010-01-01 06:56:00,2011-10-31 00:00:00
banbury guardian,17762,2010-01-01 00:16:00,2013-06-27 00:00:00
banffshire journal,973,2010-02-16 16:30:00,2015-02-04 00:00:00
barking and dagenham post,1160,2010-01-04 14:38:00,2010-09-23 10:57:00
barnesley chronicle,1575,2010-01-05 00:00:00,2011-12-06 00:00:00
barnet times,28793,2010-01-01 03:38:00,2011-12-13 11:25:00
barnsley chronicle,975,2010-07-01 00:00:00,2013-02-03 00:00:00
basingstoke gazette,14265,2010-01-01 06:21:00,2014-07-12 00:00:00
